epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.39921,1.17318,3.54185,1.36131,0.01072,0.3,0.07294,0.03645,1.06969,3.85794,1.5028,1.111e-05,1.111e-05,1.111e-05
2,14.8325,1.23757,3.49324,1.43844,0.0115,0.3,0.09736,0.0502,1.04039,3.84822,1.49015,3.3e-05,3.3e-05,3.3e-05
3,22.0805,1.20639,3.4017,1.39664,0.01214,0.3,0.12577,0.08313,1.02148,3.8434,1.43886,5.44501e-05,5.44501e-05,5.44501e-05
4,29.4798,0.99168,3.33832,1.27921,0.01202,0.3,0.16138,0.13844,1.03423,3.86322,1.43705,7.54602e-05,7.54602e-05,7.54602e-05
5,36.3063,0.95826,3.27461,1.26283,0.01231,0.3,0.19138,0.16759,1.01673,3.8701,1.41343,9.60304e-05,9.60304e-05,9.60304e-05
6,43.1825,0.98714,3.17771,1.23071,0.01285,0.3,0.17725,0.15006,0.98902,3.86781,1.39156,0.000116161,0.000116161,0.000116161
7,49.9038,1.01488,3.00871,1.26508,0.0124,0.3,0.19725,0.16662,0.98814,3.87162,1.37498,0.000135851,0.000135851,0.000135851
8,56.7038,1.06335,2.87557,1.36558,0.013,0.3,0.18662,0.15993,0.96401,3.86438,1.36245,0.000155101,0.000155101,0.000155101
9,63.417,0.89603,2.65669,1.20943,0.0138,0.3,0.18423,0.15022,1.00259,3.83949,1.36811,0.000173911,0.000173911,0.000173911
10,70.0987,0.95132,2.6211,1.20138,0.01085,0.25,0.17444,0.1423,0.99388,3.77476,1.35757,0.000192282,0.000192282,0.000192282
11,76.785,0.88369,2.37148,1.18227,0.01063,0.25,0.16433,0.13964,0.99269,3.72172,1.34865,0.000210212,0.000210212,0.000210212
12,83.4619,0.83331,2.03495,1.12344,0.01063,0.25,0.16433,0.13964,0.99269,3.72172,1.34865,0.000227703,0.000227703,0.000227703
13,90.2219,0.97737,2.13271,1.17938,0.01036,0.25,0.15277,0.12008,1.00479,3.66451,1.34851,0.000244753,0.000244753,0.000244753
14,96.8257,0.86411,2.08185,1.14686,0.01063,0.25,0.14998,0.10972,1.01152,3.58331,1.33607,0.000261364,0.000261364,0.000261364
15,103.73,0.87498,2.0263,1.08713,0.01063,0.25,0.14998,0.10972,1.01152,3.58331,1.33607,0.000277534,0.000277534,0.000277534
16,110.555,0.98258,1.98162,1.17494,0.01426,0.3,0.17697,0.14236,1.05558,3.56825,1.33532,0.000293265,0.000293265,0.000293265
17,117.5,0.80262,1.56115,1.1309,0.01996,0.3,0.20274,0.17334,1.08179,3.57349,1.32971,0.000308556,0.000308556,0.000308556
18,124.376,0.86759,1.70864,1.11635,0.01996,0.3,0.20274,0.17334,1.08179,3.57349,1.32971,0.000323407,0.000323407,0.000323407
19,131.398,0.90754,1.74265,1.09212,0.02393,0.25,0.1998,0.17184,1.0814,3.61297,1.32281,0.000337817,0.000337817,0.000337817
20,138.186,0.86992,1.52491,1.10982,0.02393,0.25,0.1998,0.17184,1.0814,3.61297,1.32281,0.000351788,0.000351788,0.000351788
21,144.987,0.83499,1.53494,1.04888,0.02465,0.25,0.19956,0.17672,1.1179,3.5761,1.36207,0.000365319,0.000365319,0.000365319
22,151.733,0.82055,1.46715,1.10294,0.02465,0.25,0.19956,0.17672,1.1179,3.5761,1.36207,0.00037841,0.00037841,0.00037841
23,158.418,0.79268,1.52015,1.14964,0.98652,0.2,0.20045,0.18326,1.22335,3.43254,1.42081,0.000391061,0.000391061,0.000391061
24,164.915,0.82733,1.5247,1.12435,0.98652,0.2,0.20045,0.18326,1.22335,3.43254,1.42081,0.000403272,0.000403272,0.000403272
25,171.636,0.85064,1.36616,1.08585,0.99478,0.2,0.23069,0.20646,1.24474,3.31989,1.46664,0.000415043,0.000415043,0.000415043
